variant,machine,read_topk,update_cap_initial,update_cap_final,injection_softcap_ratio,injection_softcap_mode,warmup_end_optimizer_step,loss_step704,final_valid_loss,final_1024x256_accuracy,log_path,gd_residual_inject_ratio,gd_residual_injection_warmup_factor,gd_residual_injection_softcap_active,gd_residual_injection_softcap_effective_ratio,gd_residual_injection_softcap_mode_safe_smooth_p4,gd_residual_injection_softcap_hit_ratio,gd_residual_injection_softcap_scale_mean,gd_residual_injection_softcap_scale_min,gd_residual_injection_softcap_scale_p05,gd_residual_injection_softcap_pre_ratio_mean,gd_residual_injection_softcap_pre_ratio_min,gd_residual_injection_softcap_pre_ratio_p05,gd_residual_update_norm_cap_active,gd_residual_update_norm_effective_cap,gd_residual_update_norm_cap_hit_ratio,gd_residual_update_norm_softcap_hit_ratio,gd_residual_update_norm_softcap_scale_mean,gd_residual_update_norm_softcap_scale_min,gd_residual_update_norm_softcap_scale_p05,gd_residual_update_norm_mean,gd_residual_update_norm_max,gd_residual_update_norm_p95,gd_residual_m_norm_mean,gd_residual_m_norm_max,gd_residual_lambda_mean,gd_residual_remote_read_topk_effective
r4-baseline,2080ti,4,,,,none,0,,0.467,0.894,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260703-04-flash-vqg-safe-limiter-readk2-readk4-screen/outputs/safe-limiter-2080ti-gpu1-r4-20260703T162133Z/logs/r4-baseline.log,0.174,1,0,0,0,0,,,,,,,0,0,0,0,1,1,1,0.0203,0.547,0.101,0.0678,5.16,0.576,4
r4-baseline,3090,4,,,,none,0,,4.94,0.0134,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260703-04-flash-vqg-safe-limiter-readk2-readk4-screen/outputs/safe-limiter-3090-gpu0-all-20260703T162133Z/logs/r4-baseline.log,0.131,1,0,0,0,0,,,,,,,0,0,0,0,1,1,1,0.104,3.8,0.629,0.11,7.41,0.15,4
r4-safe-inj-ratio1p0,2080ti,4,,,1.0,safe_smooth_p4,0,,3.23,0.11,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260703-04-flash-vqg-safe-limiter-readk2-readk4-screen/outputs/safe-limiter-2080ti-gpu1-r4-20260703T162133Z/logs/r4-safe-inj-ratio1p0.log,0.219,1,1,1,1,0.169,0.912,0.51,0.613,0.481,5.73e-5,8.48e-5,0,0,0,0,1,1,1,0.146,4.08,0.813,0.29,11.3,0.676,4
r4-safe-inj-ratio1p0,3090,4,,,1.0,safe_smooth_p4,0,,0.929,0.44,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260703-04-flash-vqg-safe-limiter-readk2-readk4-screen/outputs/safe-limiter-3090-gpu0-all-20260703T162133Z/logs/r4-safe-inj-ratio1p0.log,0.432,1,1,1,1,0.388,0.749,0.401,0.42,1.97,0.00013,0.000448,0,0,0,0,1,1,1,0.16,3.36,0.979,0.358,11.2,0.521,4
r4-safe-inj-ratio2p0,2080ti,4,,,2.0,safe_smooth_p4,0,,2.98,0.0842,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260703-04-flash-vqg-safe-limiter-readk2-readk4-screen/outputs/safe-limiter-2080ti-gpu1-r4-20260703T162133Z/logs/r4-safe-inj-ratio2p0.log,0.44,1,1,2,1,0.0737,0.96,0.524,0.743,0.618,0.000126,0.000295,0,0,0,0,1,1,1,0.175,4.2,0.916,0.358,10.3,0.281,4
r4-safe-inj-ratio2p0,3090,4,,,2.0,safe_smooth_p4,0,,0.913,0.487,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260703-04-flash-vqg-safe-limiter-readk2-readk4-screen/outputs/safe-limiter-3090-gpu0-all-20260703T162133Z/logs/r4-safe-inj-ratio2p0.log,0.0437,1,1,2,1,0.0454,0.972,0.432,0.778,0.434,6.32e-5,6.58e-5,0,0,0,0,1,1,1,0.15,3.77,0.654,0.349,12,0.103,4
r4-updatecap-0p5to0p8-linear512,2080ti,4,0.5,0.8,,none,0,,4.64,0.0167,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260703-04-flash-vqg-safe-limiter-readk2-readk4-screen/outputs/safe-limiter-2080ti-gpu1-r4-20260703T162133Z/logs/r4-updatecap-0p5to0p8-linear512.log,0.175,1,0,0,0,0,,,,,,,1,0.8,0.00358,0,1,1,1,0.0592,1.22,0.353,0.0887,6.89,0.208,4
r4-updatecap-0p5to0p8-linear512,3090,4,0.5,0.8,,none,0,,2.98,0.0992,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260703-04-flash-vqg-safe-limiter-readk2-readk4-screen/outputs/safe-limiter-3090-gpu0-all-20260703T162133Z/logs/r4-updatecap-0p5to0p8-linear512.log,0.169,1,0,0,0,0,,,,,,,1,0.8,0.0648,0,1,1,1,0.211,6.63,1.03,0.257,7.05,0.184,4
r4-updatecap-0p5to1p0-linear512,2080ti,4,0.5,1.0,,none,0,,4.35,0.0252,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260703-04-flash-vqg-safe-limiter-readk2-readk4-screen/outputs/safe-limiter-2080ti-gpu1-r4-20260703T162133Z/logs/r4-updatecap-0p5to1p0-linear512.log,0.258,1,0,0,0,0,,,,,,,1,1,0.000181,0,1,1,1,0.0452,1.12,0.249,0.0772,2.92,0.231,4
r4-updatecap-0p5to1p0-linear512,3090,4,0.5,1.0,,none,0,,2.61,0.165,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260703-04-flash-vqg-safe-limiter-readk2-readk4-screen/outputs/safe-limiter-3090-gpu0-all-20260703T162133Z/logs/r4-updatecap-0p5to1p0-linear512.log,0.174,1,0,0,0,0,,,,,,,1,1,0.0526,0,1,1,1,0.216,7.13,1.05,0.328,7.89,0.194,4
