group,item,artifact_path,original_path,keep_reason
generated,ek16 standard generated copy,zoology/experiments/flash_vqg/generated/flash-vqg-20260528-kblocked-probe-ek16-ev1-retry-ieee-20260528T020346Z-2026-05-28-02-06-08,/home/lyj/mnt/project/worktrees/fla-kblocked/zoology/zoology/experiments/flash_vqg/generated/flash-vqg-20260528-kblocked-probe-ek16-ev1-retry-ieee-20260528T020346Z-2026-05-28-02-06-08,standard generated location copied back from 3090 evidence
generated,ek8 standard generated copy,zoology/experiments/flash_vqg/generated/flash-vqg-20260528-kblocked-probe-ek8-ev2-20260528T070753Z-2026-05-28-07-07-55,/home/lyj/mnt/project/worktrees/fla-kblocked/zoology/zoology/experiments/flash_vqg/generated/flash-vqg-20260528-kblocked-probe-ek8-ev2-20260528T070753Z-2026-05-28-07-07-55,standard generated location copied back from 3090 evidence
source,FLA branch status and diff,docs/artifacts/20260528-fla-kblocked-gdn-kernel/source-snapshots/flash-linear-attention-status-and-diff.patch,/home/lyj/mnt/project/worktrees/fla-kblocked/flash-linear-attention,source patch evidence before worktree deletion
source,zoology branch status and diff,docs/artifacts/20260528-fla-kblocked-gdn-kernel/source-snapshots/zoology-status-and-diff.patch,/home/lyj/mnt/project/worktrees/fla-kblocked/zoology,wrapper patch evidence before worktree deletion
source,Flash-VQG branch status,docs/artifacts/20260528-fla-kblocked-gdn-kernel/source-snapshots/Flash-VQG-status.txt,/home/lyj/mnt/project/worktrees/fla-kblocked/Flash-VQG,repo state evidence
env,importlib source,docs/artifacts/20260528-fla-kblocked-gdn-kernel/env/importlib-source.txt,/home/lyj/miniconda3/envs/flash-vqg-kblocked,package source resolution
env,conda explicit spec,docs/artifacts/20260528-fla-kblocked-gdn-kernel/env/conda-list-explicit.txt,/home/lyj/miniconda3/envs/flash-vqg-kblocked,environment reconstruction hint
env,pip freeze,docs/artifacts/20260528-fla-kblocked-gdn-kernel/env/pip-freeze.txt,/home/lyj/miniconda3/envs/flash-vqg-kblocked,Python package snapshot
agent_review,pass no-go,docs/artifacts/20260528-fla-kblocked-gdn-kernel/agent-tables/kblocked-pass-no-go-20260528T024834Z.md,/home/lyj/mnt/project/zoology/tmp/20260527-flash-gdn-seed-kblocked-followups/agents/fla-kblocked-kernel/tables/kblocked-pass-no-go-20260528T024834Z.md,current gate and risk decision
agent_review,patch manifest,docs/artifacts/20260528-fla-kblocked-gdn-kernel/agent-tables/kblocked-patch-manifest-20260528T024834Z.json,/home/lyj/mnt/project/zoology/tmp/20260527-flash-gdn-seed-kblocked-followups/agents/fla-kblocked-kernel/tables/kblocked-patch-manifest-20260528T024834Z.json,source scope summary
script,reusable training probe wrapper,zoology/experiments/flash_vqg/scripts/20260528-fla-kblocked-gdn-kernel/run_kblocked_training_probe.sh,,maintained script entrypoint for future authorized reruns
script,ek16 ev1 training wrapper,zoology/experiments/flash_vqg/scripts/20260528-fla-kblocked-gdn-kernel/run_ek16_ev1_training_probe.sh,,maintained wrapper for true K=1024,V=64 probe
script,ek8 ev2 training wrapper,zoology/experiments/flash_vqg/scripts/20260528-fla-kblocked-gdn-kernel/run_ek8_ev2_training_probe.sh,,maintained wrapper for true K=512,V=128 probe
